Provisional designation,"Absolute magnitude, H",Distance ER,Distance LD,Distance km,Distance AU,Refernce,Ref URL,,,,,,,,,
2018 WG,29.3,165.13,2.7437,1054665,0.00705,MPEC 2018-W24,http://www.minorplanetcenter.net/mpec/K18/K18W24.html,,,,,,,,,
2015 EO,26.8,165.6,2.7514,1057657,0.00707,MPEC 2015-O58,http://www.minorplanetcenter.net/mpec/K15/K15O58.html,,,,,,,,,
2017 EV,26.8,167.47,2.7826,1069625,0.00715,MPEC 2017-E84,http://www.minorplanetcenter.net/mpec/K17/K17E84.html,,,,,,,,,
2010 XO69,27.1,167.7,2.7865,1071121,0.00716,MPEC 2010-Y04,http://www.minorplanetcenter.net/mpec/K10/K10Y04.html,,,,,,,,,
2017 QR32,26.6,167.7,2.7865,1071121,0.00716,MPEC 2017-Q14,http://www.minorplanetcenter.net/mpec/K17/K17Q14.html,,,,,,,,,
2018 RM7,28.3,167.7,2.7865,1071121,0.00716,MPEC 2018-R19,http://www.minorplanetcenter.net/mpec/K18/K18R19.html,,,,,,,,,
2019 EZ,27.3,167.94,2.7904,1072617,0.00717,MPEC 2019-E56,http://www.minorplanetcenter.net/mpec/K19/K19E56.html,,,,,,,,,
2009 RR,25.6,168.64,2.802,1077105,0.0072,MPEC 2009-R39,http://www.minorplanetcenter.net/mpec/K09/K09R39.html,,,,,,,,,
2015 GK,25.8,168.87,2.8059,1078601,0.00721,MPEC 2015-H16,http://www.minorplanetcenter.net/mpec/K15/K15H16.html,,,,,,,,,
2017 UL5,26.5,169.34,2.8137,1081593,0.00723,MPEC 2017-U20,http://www.minorplanetcenter.net/mpec/K17/K17U20.html,,,,,,,,,
2009 WD54,28.7,169.58,2.8176,1083089,0.00724,MPEC 2009-W91,http://www.minorplanetcenter.net/mpec/K09/K09W91.html,,,,,,,,,
2018 TH3,29.1,169.58,2.8176,1083089,0.00724,MPEC 2018-T11,http://www.minorplanetcenter.net/mpec/K18/K18T11.html,,,,,,,,,
2005 UA1,26.3,170.05,2.8254,1086081,0.00726,MPEC 2005-U40,http://www.minorplanetcenter.net/mpec/K05/K05U40.html,,,,,,,,,
2004 DF2,26.1,170.51,2.8332,1089072,0.00728,MPEC 2004-D17,http://www.minorplanetcenter.net/mpec/K04/K04D17.html,,,,,,,,,
2012 SL50,26.4,170.75,2.8371,1090568,0.00729,MPEC 2012-S72,http://www.minorplanetcenter.net/mpec/K12/K12S72.html,,,,,,,,,
2019 BD5,26.7,170.98,2.841,1092064,0.0073,MPEC 2019-C08,http://www.minorplanetcenter.net/mpec/K19/K19C08.html,,,,,,,,,
2010 VK139,23.4,171.22,2.8449,1093560,0.00731,MPEC 2010-V131,http://www.minorplanetcenter.net/mpec/K10/K10VD1.html,,,,,,,,,
2010 GF7,25.7,171.45,2.8487,1095056,0.00732,MPEC 2010-G37,http://www.minorplanetcenter.net/mpec/K10/K10G37.html,,,,,,,,,
2018 HM,27.3,171.45,2.8487,1095056,0.00732,MPEC 2018-H52,http://www.minorplanetcenter.net/mpec/K18/K18H52.html,,,,,,,,,
2016 GE1,26.7,171.92,2.8565,1098048,0.00734,MPEC 2019-G47,http://www.minorplanetcenter.net/mpec/K19/K19G47.html,,,,,,,,,
2016 WC10,27.1,172.86,2.8721,1104032,0.00738,MPEC 2016-X17,http://www.minorplanetcenter.net/mpec/K16/K16X17.html,,,,,,,,,
2016 JY5,27.1,173.09,2.876,1105528,0.00739,MPEC 2016-J10,http://www.minorplanetcenter.net/mpec/K16/K16J10.html,,,,,,,,,
2003 UT55,26.8,173.32,2.8799,1107024,0.0074,MPEC 2003-U96,http://www.minorplanetcenter.net/mpec/K03/K03U96.html,,,,,,,,,
2017 QG2,27.6,173.32,2.8799,1107024,0.0074,MPEC 2017-Q69,http://www.minorplanetcenter.net/mpec/K17/K17Q69.html,,,,,,,,,
2017 VA,24.3,174.26,2.8954,1113008,0.00744,MPEC 2017-V10,http://www.minorplanetcenter.net/mpec/K17/K17V10.html,,,,,,,,,
2017 YE,28.5,174.26,2.8954,1113008,0.00744,MPEC 2017-Y38,http://www.minorplanetcenter.net/mpec/K17/K17Y38.html,,,,,,,,,
2006 KB1,24.4,174.73,2.9032,1116000,0.00746,MPEC 2006-K22,http://www.minorplanetcenter.net/mpec/K06/K06K22.html,,,,,,,,,
2009 QC35,25.2,175.67,2.9188,1121984,0.0075,MPEC 2009-Q79,http://www.minorplanetcenter.net/mpec/K09/K09Q79.html,,,,,,,,,
2013 AC53,26.2,175.9,2.9227,1123480,0.00751,MPEC 2013-B30,http://www.minorplanetcenter.net/mpec/K13/K13B30.html,,,,,,,,,
2019 JY1,28.2,176.84,2.9383,1129464,0.00755,MPEC 2019-J50,http://www.minorplanetcenter.net/mpec/K19/K19J50.html,,,,,,,,,
2017 WC,26,177.07,2.9421,1130960,0.00756,MPEC 2017-W42,http://www.minorplanetcenter.net/mpec/K17/K17W42.html,,,,,,,,,
2013 GA55,27.6,177.77,2.9538,1135448,0.00759,MPEC 2013-G54,http://www.minorplanetcenter.net/mpec/K13/K13G54.html,,,,,,,,,
2018 VA8,26.9,177.77,2.9538,1135448,0.00759,MPEC 2018-V18,http://www.minorplanetcenter.net/mpec/K18/K18V18.html,,,,,,,,,
2007 VX83,27.8,178.01,2.9577,1136944,0.0076,MPEC 2007-V66,http://www.minorplanetcenter.net/mpec/K07/K07V66.html,,,,,,,,,
2014 RJ11,27.3,178.48,2.9655,1139936,0.00762,MPEC 2014-R79,http://www.minorplanetcenter.net/mpec/K14/K14R79.html,,,,,,,,,
2006 TR7,25.6,178.95,2.9733,1142928,0.00764,MPEC 2006-T67,http://www.minorplanetcenter.net/mpec/K06/K06T67.html,,,,,,,,,
2008 TE,27.7,178.95,2.9733,1142928,0.00764,MPEC 2008-T17,http://www.minorplanetcenter.net/mpec/K08/K08T17.html,,,,,,,,,
2012 PZ17,26.8,179.18,2.9772,1144424,0.00765,MPEC 2012-P38,http://www.minorplanetcenter.net/mpec/K12/K12P38.html,,,,,,,,,
2012 UU169,25.6,179.18,2.9772,1144424,0.00765,MPEC 2012-U113,http://www.minorplanetcenter.net/mpec/K12/K12UB3.html,,,,,,,,,
2019 FB,25.9,179.41,2.9811,1145920,0.00766,MPEC 2019-F20,http://www.minorplanetcenter.net/mpec/K19/K19F20.html,,,,,,,,,
2019 BM2,26.3,180.35,2.9966,1151904,0.0077,MPEC 2019-B11,http://www.minorplanetcenter.net/mpec/K19/K19B11.html,,,,,,,,,
1976 UA,20.26,181.52,3.0161,1159383,0.00775,IAUC 3028,http://www.minorplanetcenter.net/iauc/03000/03028.html,,,,,,,,,
2004 JP1,22.4,181.99,3.0239,1162375,0.00777,MPEC 2004-J50,http://www.minorplanetcenter.net/mpec/K04/K04J50.html,,,,,,,,,
2017 CX31,25.1,181.99,3.0239,1162375,0.00777,MPEC 2017-D77,http://www.minorplanetcenter.net/mpec/K17/K17D77.html,,,,,,,,,
2019 HQ,26.2,182.23,3.0278,1163871,0.00778,MPEC 2019-H57,http://www.minorplanetcenter.net/mpec/K19/K19H57.html,,,,,,,,,
2016 CB248,26.6,182.46,3.0317,1165367,0.00779,MPEC 2016-K39,http://www.minorplanetcenter.net/mpec/K16/K16K39.html,,,,,,,,,
2010 FW9,26.7,182.69,3.0355,1166863,0.0078,MPEC 2010-F59,http://www.minorplanetcenter.net/mpec/K10/K10F59.html,,,,,,,,,
2012 TQ146,26.4,183.16,3.0433,1169855,0.00782,MPEC 2012-U02,http://www.minorplanetcenter.net/mpec/K12/K12U02.html,,,,,,,,,
2019 GJ3,28,183.63,3.0511,1172847,0.00784,MPEC 2019-G92,http://www.minorplanetcenter.net/mpec/K19/K19G92.html,,,,,,,,,
2008 HR3,24.8,183.86,3.055,1174343,0.00785,MPEC 2008-H54,http://www.minorplanetcenter.net/mpec/K08/K08H54.html,,,,,,,,,
2016 VZ,26,183.86,3.055,1174343,0.00785,MPEC 2016-V57,http://www.minorplanetcenter.net/mpec/K16/K16V57.html,,,,,,,,,
2016 VZ,25.9,183.86,3.055,1174343,0.00785,MPEC 2016-V43,http://www.minorplanetcenter.net/mpec/K16/K16V43.html,,,,,,,,,
2019 BE5,25.1,184.1,3.0589,1175839,0.00786,MPEC 2019-C10,http://www.minorplanetcenter.net/mpec/K19/K19C10.html,,,,,,,,,
2018 BU1,24.6,184.33,3.0628,1177335,0.00787,MPEC 2018-B69,http://www.minorplanetcenter.net/mpec/K18/K18B69.html,,,,,,,,,
2008 DU22,26.3,184.57,3.0667,1178831,0.00788,MPEC 2008-E04,http://www.minorplanetcenter.net/mpec/K08/K08E04.html,,,,,,,,,
2014 FB7,27.5,184.57,3.0667,1178831,0.00788,MPEC 2014-F41,http://www.minorplanetcenter.net/mpec/K14/K14F41.html,,,,,,,,,
2016 ES85,29.7,184.8,3.0706,1180327,0.00789,MPEC 2016-F18,http://www.minorplanetcenter.net/mpec/K16/K16F18.html,,,,,,,,,
2003 SL36,26.4,185.5,3.0822,1184815,0.00792,MPEC 2003-S31,http://www.minorplanetcenter.net/mpec/K03/K03S31.html,,,,,,,,,
2016 UR5,26.7,185.5,3.0822,1184815,0.00792,MPEC 2016-U44,http://www.minorplanetcenter.net/mpec/K16/K16U44.html,,,,,,,,,
2018 EE9,26.1,185.97,3.09,1187807,0.00794,MPEC 2018-F88,http://www.minorplanetcenter.net/mpec/K18/K18F88.html,,,,,,,,,
2017 XN60,25.6,186.91,3.1056,1193791,0.00798,MPEC 2017-X13,http://www.minorplanetcenter.net/mpec/K17/K17X13.html,,,,,,,,,
2016 UE57,26.4,187.14,3.1095,1195287,0.00799,MPEC 2016-X44,http://www.minorplanetcenter.net/mpec/K16/K16X44.html,,,,,,,,,
2012 BS1,28.7,187.61,3.1173,1198279,0.00801,MPEC 2012-B13,http://www.minorplanetcenter.net/mpec/K12/K12B13.html,,,,,,,,,
2015 DS53,24.2,187.61,3.1173,1198279,0.00801,MPEC 2016-T48,http://www.minorplanetcenter.net/mpec/K16/K16T48.html,,,,,,,,,
2012 TP20,27.8,189.25,3.1445,1208751,0.00808,MPEC 2012-T30,http://www.minorplanetcenter.net/mpec/K12/K12T30.html,,,,,,,,,
2019 AT13,26.9,189.95,3.1562,1213239,0.00811,MPEC 2019-B43,http://www.minorplanetcenter.net/mpec/K19/K19B43.html,,,,,,,,,
2013 KB,27.2,190.19,3.1601,1214735,0.00812,MPEC 2013-K33,http://www.minorplanetcenter.net/mpec/K13/K13K33.html,,,,,,,,,
2004 JO20,25.9,190.66,3.1679,1217727,0.00814,MPEC 2004-K01,http://www.minorplanetcenter.net/mpec/K04/K04K01.html,,,,,,,,,
2018 FR3,27.3,190.66,3.1679,1217727,0.00814,MPEC 2018-F97,http://www.minorplanetcenter.net/mpec/K18/K18F97.html,,,,,,,,,
2017 HU2,25.9,190.89,3.1718,1219223,0.00815,MPEC 2017-H54,http://www.minorplanetcenter.net/mpec/K17/K17H54.html,,,,,,,,,
2011 KG13,25.7,191.36,3.1795,1222215,0.00817,MPEC 2011-K36,http://www.minorplanetcenter.net/mpec/K11/K11K36.html,,,,,,,,,
2016 XG,28.4,191.59,3.1834,1223711,0.00818,MPEC 2016-X41,http://www.minorplanetcenter.net/mpec/K16/K16X41.html,,,,,,,,,
2014 WO365,26.1,192.77,3.2029,1231190,0.00823,MPEC 2014-X02,http://www.minorplanetcenter.net/mpec/K14/K14X02.html,,,,,,,,,
2014 XO7,26.8,193.47,3.2146,1235678,0.00826,MPEC 2014-Y01,http://www.minorplanetcenter.net/mpec/K14/K14Y01.html,,,,,,,,,
2017 MA3,26.8,194.17,3.2262,1240166,0.00829,MPEC 2017-M61,http://www.minorplanetcenter.net/mpec/K17/K17M61.html,,,,,,,,,
2017 HY,27.3,194.87,3.2379,1244654,0.00832,MPEC 2017-H27,http://www.minorplanetcenter.net/mpec/K17/K17H27.html,,,,,,,,,
2010 CJ18,26.7,195.34,3.2457,1247646,0.00834,MPEC 2010-C57,http://www.minorplanetcenter.net/mpec/K10/K10C57.html,,,,,,,,,
2009 JS,25.7,197.92,3.2885,1264102,0.00845,MPEC 2009-J23,http://www.minorplanetcenter.net/mpec/K09/K09J23.html,,,,,,,,,
2016 NC56,27.3,197.92,3.2885,1264102,0.00845,MPEC 2016-P76,http://www.minorplanetcenter.net/mpec/K16/K16P76.html,,,,,,,,,
2015 KA122,23.2,198.62,3.3002,1268590,0.00848,MPEC 2016-B14,http://www.minorplanetcenter.net/mpec/K16/K16B14.html,,,,,,,,,
2017 MR8,25.1,198.85,3.3041,1270086,0.00849,MPEC 2017-N40,http://www.minorplanetcenter.net/mpec/K17/K17N40.html,,,,,,,,,
2008 FQ32,26.8,200.03,3.3235,1277566,0.00854,MPEC 2009-F100,http://www.minorplanetcenter.net/mpec/K09/K09FA0.html,,,,,,,,,
2016 BY,26.1,200.03,3.3235,1277566,0.00854,MPEC 2016-B72,http://www.minorplanetcenter.net/mpec/K16/K16B72.html,,,,,,,,,
2016 TQ2,26.4,200.03,3.3235,1277566,0.00854,MPEC 2016-T10,http://www.minorplanetcenter.net/mpec/K16/K16T10.html,,,,,,,,,
2017 DH16,27.1,200.49,3.3313,1280558,0.00856,MPEC 2017-D77,http://www.minorplanetcenter.net/mpec/K17/K17D77.html,,,,,,,,,
2013 VW13,26.2,200.73,3.3352,1282054,0.00857,MPEC 2013-X45,http://www.minorplanetcenter.net/mpec/K13/K13X45.html,,,,,,,,,
2014 SS223,26.1,200.73,3.3352,1282054,0.00857,MPEC 2014-S12,http://www.minorplanetcenter.net/mpec/K14/K14S12.html,,,,,,,,,
2006 XY,24.1,201.43,3.3469,1286542,0.0086,MPEC 2017-W20,http://www.minorplanetcenter.net/mpec/K17/K17W20.html,,,,,,,,,
2016 WC2,27.2,201.67,3.3508,1288038,0.00861,MPEC 2016-W62,http://www.minorplanetcenter.net/mpec/K16/K16W62.html,,,,,,,,,
2015 CS,26.4,201.9,3.3547,1289534,0.00862,MPEC 2015-E35,http://www.minorplanetcenter.net/mpec/K15/K15E35.html,,,,,,,,,
2019 BG3,26.1,202.37,3.3624,1292526,0.00864,MPEC 2019-B12,http://www.minorplanetcenter.net/mpec/K19/K19B12.html,,,,,,,,,
2015 GE1,25.7,202.6,3.3663,1294022,0.00865,MPEC 2016-F61,http://www.minorplanetcenter.net/mpec/K16/K16F61.html,,,,,,,,,
2012 BO11,26,203.07,3.3741,1297014,0.00867,MPEC 2012-B31,http://www.minorplanetcenter.net/mpec/K12/K12B31.html,,,,,,,,,
2012 KW,26.8,203.31,3.378,1298510,0.00868,MPEC 2012-K10,http://www.minorplanetcenter.net/mpec/K12/K12K10.html,,,,,,,,,
2005 VY1,25.8,204.24,3.3936,1304493,0.00872,MPEC 2005-V50,http://www.minorplanetcenter.net/mpec/K05/K05V50.html,,,,,,,,,
2019 GW20,27.5,204.24,3.3936,1304493,0.00872,MPEC 2019-G20,http://www.minorplanetcenter.net/mpec/K19/K19G20.html,,,,,,,,,
2015 EQ,26.1,204.48,3.3975,1305989,0.00873,MPEC 2015-F02,http://www.minorplanetcenter.net/mpec/K15/K15F02.html,,,,,,,,,
2019 HA4,26,204.71,3.4014,1307485,0.00874,MPEC 2019-H99,http://www.minorplanetcenter.net/mpec/K19/K19H99.html,,,,,,,,,
2013 JO7,26,205.41,3.413,1311973,0.00877,MPEC 2013-J32,http://www.minorplanetcenter.net/mpec/K13/K13J32.html,,,,,,,,,
2015 VC1,27.2,205.41,3.413,1311973,0.00877,MPEC 2015-X22,http://www.minorplanetcenter.net/mpec/K15/K15X22.html,,,,,,,,,
2016 CD31,26.9,205.65,3.4169,1313469,0.00878,MPEC 2016-C14,http://www.minorplanetcenter.net/mpec/K16/K16C14.html,,,,,,,,,
1999 FR5,23.8,205.88,3.4208,1314965,0.00879,MPEC 1999-F21,http://www.minorplanetcenter.net/mpec/J99/J99F21.html,,,,,,,,,
2016 TM,27.5,205.88,3.4208,1314965,0.00879,MPEC 2016-W01,http://www.minorplanetcenter.net/mpec/K16/K16W01.html,,,,,,,,,
2018 UF1,25.8,205.88,3.4208,1314965,0.00879,MPEC 2018-U41,http://www.minorplanetcenter.net/mpec/K18/K18U41.html,,,,,,,,,
2019 BJ1,24.9,205.88,3.4208,1314965,0.00879,MPEC 2019-B87,http://www.minorplanetcenter.net/mpec/K19/K19B87.html,,,,,,,,,
2014 LJ,28.5,206.12,3.4247,1316461,0.0088,MPEC 2014-N70,http://www.minorplanetcenter.net/mpec/K14/K14N70.html,,,,,,,,,
2007 FC3,25.5,207.52,3.4481,1325437,0.00886,MPEC 2007-F43,http://www.minorplanetcenter.net/mpec/K07/K07F43.html,,,,,,,,,
2001 YN2,25.4,208.93,3.4714,1334413,0.00892,MPEC 2001-Y26,http://www.minorplanetcenter.net/mpec/K01/K01Y26.html,,,,,,,,,
2018 WG,29.3,209.16,3.4753,1335909,0.00893,MPEC 2018-W24,http://www.minorplanetcenter.net/mpec/K18/K18W24.html,,,,,,,,,
2011 PE2,22.9,209.86,3.487,1340397,0.00896,MPEC 2011-P40,http://www.minorplanetcenter.net/mpec/K11/K11P40.html,,,,,,,,,
2001 QE71,24.6,210.33,3.4948,1343389,0.00898,MPEC 2001-Q30,http://www.minorplanetcenter.net/mpec/K01/K01Q30.html,,,,,,,,,
2013 TG6,26.6,210.8,3.5026,1346381,0.009,MPO 277266,,,,,,,,,,
2012 QH14,27.3,211.27,3.5103,1349373,0.00902,MPEC 2012-Q39,http://www.minorplanetcenter.net/mpec/K12/K12Q39.html,,,,,,,,,
2013 EA29,26.5,212.44,3.5298,1356853,0.00907,MPEC 2013-E59,http://www.minorplanetcenter.net/mpec/K13/K13E59.html,,,,,,,,,
2017 FR91,26.9,212.67,3.5337,1358349,0.00908,MPEC 2017-G31,http://www.minorplanetcenter.net/mpec/K17/K17G31.html,,,,,,,,,
2003 SM215,27.5,212.91,3.5376,1359845,0.00909,MPEC 2003-S81,http://www.minorplanetcenter.net/mpec/K03/K03S81.html,,,,,,,,,
2018 AA4,25.9,212.91,3.5376,1359845,0.00909,MPEC 2018-A91,http://www.minorplanetcenter.net/mpec/K18/K18A91.html,,,,,,,,,
2015 JD,25.5,213.85,3.5531,1365829,0.00913,MPEC 2015-S54,http://www.minorplanetcenter.net/mpec/K15/K15S54.html,,,,,,,,,
2017 CX1,28.2,214.55,3.5648,1370316,0.00916,MPEC 2017-C72,http://www.minorplanetcenter.net/mpec/K17/K17C72.html,,,,,,,,,
2012 GE,26.7,215.72,3.5843,1377796,0.00921,MPEC 2012-G16,http://www.minorplanetcenter.net/mpec/K12/K12G16.html,,,,,,,,,
2017 HB1,26.2,215.95,3.5882,1379292,0.00922,MPEC 2017-H30,http://www.minorplanetcenter.net/mpec/K17/K17H30.html,,,,,,,,,
2018 JU2,28.6,215.95,3.5882,1379292,0.00922,MPEC 2018-J79,http://www.minorplanetcenter.net/mpec/K18/K18J79.html,,,,,,,,,
2012 CQ46,27.2,217.12,3.6076,1386772,0.00927,MPEC 2012-D17,http://www.minorplanetcenter.net/mpec/K12/K12D17.html,,,,,,,,,
2016 QL44,25.1,217.36,3.6115,1388268,0.00928,MPEC 2016-R16,http://www.minorplanetcenter.net/mpec/K16/K16R16.html,,,,,,,,,
2018 VX5,25.8,217.36,3.6115,1388268,0.00928,MPEC 2018-V12,http://www.minorplanetcenter.net/mpec/K18/K18V12.html,,,,,,,,,
2014 SS143,27,217.59,3.6154,1389764,0.00929,MPEC 2014-W64,http://www.minorplanetcenter.net/mpec/K14/K14W64.html,,,,,,,,,
2003 FY6,22.5,217.83,3.6193,1391260,0.0093,MPEC 2003-F61,http://www.minorplanetcenter.net/mpec/K03/K03F61.html,,,,,,,,,
2019 FC,24.1,218.06,3.6232,1392756,0.00931,MPEC 2019-F44,http://www.minorplanetcenter.net/mpec/K19/K19F44.html,,,,,,,,,
2014 UX57,26.4,218.3,3.6271,1394252,0.00932,MPEC 2014-W15,http://www.minorplanetcenter.net/mpec/K14/K14W15.html,,,,,,,,,
2008 YG30,24.5,218.53,3.631,1395748,0.00933,MPEC 2008-Y83,http://www.minorplanetcenter.net/mpec/K08/K08Y83.html,,,,,,,,,
2019 JO2,25.6,219,3.6388,1398740,0.00935,MPEC 2019-J66,http://www.minorplanetcenter.net/mpec/K19/K19J66.html,,,,,,,,,
2016 CK31,27.1,219.23,3.6427,1400236,0.00936,MPEC 2016-C14,http://www.minorplanetcenter.net/mpec/K16/K16C14.html,,,,,,,,,
2004 MC,23.3,219.93,3.6543,1404724,0.00939,MPEC 2004-M07,http://www.minorplanetcenter.net/mpec/K04/K04M07.html,,,,,,,,,
2018 LW3,25.9,219.93,3.6543,1404724,0.00939,MPEC 2018-L64,http://www.minorplanetcenter.net/mpec/K18/K18L64.html,,,,,,,,,
2006 WV29,26.5,220.64,3.666,1409212,0.00942,MPEC 2006-W85,http://www.minorplanetcenter.net/mpec/K06/K06W85.html,,,,,,,,,
2012 FX35,25.9,220.87,3.6699,1410708,0.00943,MPEC 2012-F86,http://www.minorplanetcenter.net/mpec/K12/K12F86.html,,,,,,,,,
2015 LH,27.2,221.34,3.6777,1413700,0.00945,MPEC 2015-M66,http://www.minorplanetcenter.net/mpec/K15/K15M66.html,,,,,,,,,
2014 HU2,26.5,222.28,3.6932,1419684,0.00949,MPEC 2014-H23,http://www.minorplanetcenter.net/mpec/K14/K14H23.html,,,,,,,,,
2011 YL28,25.2,222.51,3.6971,1421180,0.0095,MPEC 2011-Y57,http://www.minorplanetcenter.net/mpec/K11/K11Y57.html,,,,,,,,,
2017 HX4,26.3,222.75,3.701,1422676,0.00951,MPEC 2017-H84,http://www.minorplanetcenter.net/mpec/K17/K17H84.html,,,,,,,,,
2018 OQ,26.8,223.92,3.7205,1430156,0.00956,MPEC 2018-O32,http://www.minorplanetcenter.net/mpec/K18/K18O32.html,,,,,,,,,
2011 KE15,26.9,224.39,3.7283,1433148,0.00958,MPEC 2011-K40,http://www.minorplanetcenter.net/mpec/K11/K11K40.html,,,,,,,,,
2016 TM56,26.8,227.66,3.7828,1454091,0.00972,MPEC 2016-V29,http://www.minorplanetcenter.net/mpec/K16/K16V29.html,,,,,,,,,
2016 TM56,26.8,227.66,3.7828,1454091,0.00972,MPEC 2016-V25,http://www.minorplanetcenter.net/mpec/K16/K16V25.html,,,,,,,,,
2017 TY5,26.8,227.66,3.7828,1454091,0.00972,MPEC 2017-U26,http://www.minorplanetcenter.net/mpec/K17/K17U26.html,,,,,,,,,
2008 UF1,26,228.37,3.7944,1458579,0.00975,MPEC 2008-U39,http://www.minorplanetcenter.net/mpec/K08/K08U39.html,,,,,,,,,
2006 SB,25.8,229.77,3.8178,1467555,0.00981,MPEC 2006-S09,http://www.minorplanetcenter.net/mpec/K06/K06S09.html,,,,,,,,,
2009 LD,26.2,229.77,3.8178,1467555,0.00981,MPEC 2009-L08,http://www.minorplanetcenter.net/mpec/K09/K09L08.html,,,,,,,,,
2016 TG55,26,230.94,3.8372,1475035,0.00986,MPEC 2016-V09,http://www.minorplanetcenter.net/mpec/K16/K16V09.html,,,,,,,,,
2005 WM3,27.7,231.41,3.845,1478027,0.00988,MPEC 2005-W61,http://www.minorplanetcenter.net/mpec/K05/K05W61.html,,,,,,,,,
2015 XG352,25.5,231.65,3.8489,1479523,0.00989,MPEC 2015-Y37,http://www.minorplanetcenter.net/mpec/K15/K15Y37.html,,,,,,,,,
2010 AN60,26.8,232.11,3.8567,1482515,0.00991,MPEC 2010-A83,http://www.minorplanetcenter.net/mpec/K10/K10A83.html,,,,,,,,,
2014 YB9,27.5,232.11,3.8567,1482515,0.00991,MPEC 2014-Y46,http://www.minorplanetcenter.net/mpec/K14/K14Y46.html,,,,,,,,,
2018 DW1,26.8,232.58,3.8645,1485507,0.00993,MPEC 2018-D78,http://www.minorplanetcenter.net/mpec/K18/K18D78.html,,,,,,,,,
2014 BP8,27.3,233.52,3.88,1491491,0.00997,MPEC 2014-D09,http://www.minorplanetcenter.net/mpec/K14/K14D09.html,,,,,,,,,
2018 LA,30.6,0.91,0.0152,5834,3.90E-05,MPEC 2018-L04,http://www.minorplanetcenter.net/mpec/K18/K18L04.html,,,,,,,,,
2014 AA,30.9,1.01,0.0167,6433,4.30E-05,MPEC 2014-A03,http://www.minorplanetcenter.net/mpec/K14/K14A03.html,,,,,,,,,
2011 CQ1,32.1,1.85,0.0307,11818,7.90E-05,MPEC 2011-C12,http://www.minorplanetcenter.net/mpec/K11/K11C12.html,,,,,,,,,
2011 MD,28,2.93,0.0486,18700,0.000125,MPEC 2011-M23,http://www.minorplanetcenter.net/mpec/K11/K11M23.html,,,,,,,,,
2018 WV1,30.2,3.16,0.0525,20196,0.000135,MPEC 2018-W81,http://www.minorplanetcenter.net/mpec/K18/K18W81.html,,,,,,,,,
2013 YB,31.5,5.6,0.093,35754,0.000239,MPEC 2013-Y31,http://www.minorplanetcenter.net/mpec/K13/K13Y31.html,,,,,,,,,
2016 AN164,30.4,5.83,0.0969,37250,0.000249,MPEC 2016-A16,http://www.minorplanetcenter.net/mpec/K16/K16A16.html,,,,,,,,,
2010 WA,30,6.09,0.1012,38895,0.00026,MPEC 2010-W03,http://www.minorplanetcenter.net/mpec/K10/K10W03.html,,,,,,,,,
2018 PD20,27.4,6.25,0.1039,39943,0.000267,MPEC 2018-P79,http://www.minorplanetcenter.net/mpec/K18/K18P79.html,,,,,,,,,
2014 LY21,29.1,6.35,0.1055,40541,0.000271,MPEC 2014-L49,http://www.minorplanetcenter.net/mpec/K14/K14L49.html,,,,,,,,,
2016 RB1,28.3,6.7,0.1113,42785,0.000286,MPEC 2016-S60,http://www.minorplanetcenter.net/mpec/K16/K16S60.html,,,,,,,,,
2008 VM,30.2,7.19,0.1195,45927,0.000307,MPEC 2008-V19,http://www.minorplanetcenter.net/mpec/K08/K08V19.html,,,,,,,,,
2015 DD1,30.4,7.19,0.1195,45927,0.000307,MPEC 2015-F19,http://www.minorplanetcenter.net/mpec/K15/K15F19.html,,,,,,,,,
2019 BZ3,28.7,7.75,0.1288,49517,0.000331,MPEC 2019-B14,http://www.minorplanetcenter.net/mpec/K19/K19B14.html,,,,,,,,,
2017 BH30,28.8,8.13,0.135,51910,0.000347,MPEC 2017-B16,http://www.minorplanetcenter.net/mpec/K17/K17B16.html,,,,,,,,,
2010 XB,29.4,8.31,0.1382,53107,0.000355,MPEC 2010-X12,http://www.minorplanetcenter.net/mpec/K10/K10X12.html,,,,,,,,,
2010 TD54,28.7,8.43,0.1401,53855,0.00036,MPEC 2010-T65,http://www.minorplanetcenter.net/mpec/K10/K10T65.html,,,,,,,,,
2014 RA,28.9,8.97,0.1491,57296,0.000383,MPEC 2014-T41,http://www.minorplanetcenter.net/mpec/K14/K14T41.html,,,,,,,,,
2012 KP24,26.4,9.2,0.1529,58792,0.000393,MPEC 2012-K52,http://www.minorplanetcenter.net/mpec/K12/K12K52.html,,,,,,,,,
2015 HD1,27.4,10.59,0.1759,67618,0.000452,MPEC 2015-H11,http://www.minorplanetcenter.net/mpec/K15/K15H11.html,,,,,,,,,
2009 DD45,25.4,11.31,0.188,72256,0.000483,MPEC 2009-D80,http://www.minorplanetcenter.net/mpec/K09/K09D80.html,,,,,,,,,
2016 GN134,30.2,11.38,0.1891,72705,0.000486,MPEC 2016-G11,http://www.minorplanetcenter.net/mpec/K16/K16G11.html,,,,,,,,,
2013 XS21,29.4,11.43,0.1899,73004,0.000488,MPEC 2013-Y10,http://www.minorplanetcenter.net/mpec/K13/K13Y10.html,,,,,,,,,
2015 YJ,28.2,11.48,0.1907,73303,0.00049,MPEC 2016-O28,http://www.minorplanetcenter.net/mpec/K16/K16O28.html,,,,,,,,,
