Provisional designation,"Absolute magnitude, H",Distance ER,Distance LD,Distance km,Distance AU,Refernce,Ref URL,,,,,,,,,
2002 MN,23.4,18.78,0.3121,119977,0.000802,MPEC 2002-M14,http://www.minorplanetcenter.net/mpec/K02/K02M14.html,,,,,,,,,
2005 TK50,29.1,19.21,0.3191,122670,0.00082,MPEC 2005-T87,http://www.minorplanetcenter.net/mpec/K05/K05T87.html,,,,,,,,,
2018 NW,27.8,19.25,0.3199,122969,0.000822,MPEC 2018-N34,http://www.minorplanetcenter.net/mpec/K18/K18N34.html,,,,,,,,,
2017 HV2,29,19.6,0.3257,125213,0.000837,MPEC 2017-H55,http://www.minorplanetcenter.net/mpec/K17/K17H55.html,,,,,,,,,
2015 ET,26.7,20.03,0.3327,127906,0.000855,MPEC 2015-R05,http://www.minorplanetcenter.net/mpec/K15/K15R05.html,,,,,,,,,
2016 TH,29.4,20.17,0.3351,128804,0.000861,MPEC 2016-T29,http://www.minorplanetcenter.net/mpec/K16/K16T29.html,,,,,,,,,
2017 FM1,29.5,20.28,0.337,129552,0.000866,MPEC 2017-F48,http://www.minorplanetcenter.net/mpec/K17/K17F48.html,,,,,,,,,
2015 UM52,27.8,20.45,0.3397,130599,0.000873,MPEC 2015-X22,http://www.minorplanetcenter.net/mpec/K15/K15X22.html,,,,,,,,,
2008 CT1,27.7,21.1,0.3506,134788,0.000901,MPEC 2008-C32,http://www.minorplanetcenter.net/mpec/K08/K08C32.html,,,,,,,,,
2017 HJ,27.4,21.31,0.3541,136134,0.00091,MPEC 2017-H16,http://www.minorplanetcenter.net/mpec/K17/K17H16.html,,,,,,,,,
2017 DG16,29.3,21.55,0.358,137630,0.00092,MPEC 2017-D55,http://www.minorplanetcenter.net/mpec/K17/K17D55.html,,,,,,,,,
2007 TX22,28.4,22.46,0.3732,143464,0.000959,MPEC 2007-T71,http://www.minorplanetcenter.net/mpec/K07/K07T71.html,,,,,,,,,
