,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
968,Tadjera,23778,Valid,L5,9000.0,Fell,1867.0,36.18333,5.41667,"(36.183330, 5.416670)"
969,Tagish Lake,23782,Valid,C2-ung,10000.0,Fell,2000.0,59.704440000000005,-134.20139,"(59.704440, -134.201390)"
970,Tahara,23784,Valid,H4/5,1000.0,Fell,1991.0,34.72,137.305,"(34.720000, 137.305000)"
971,Takenouchi,23789,Valid,H5,720.0,Fell,1880.0,35.38333,134.9,"(35.383330, 134.900000)"
972,Talampaya,23791,Valid,Eucrite-cm,1421.0,Fell,1995.0,,,
973,Tambakwatu,23795,Valid,L6,10500.0,Fell,1975.0,-7.75,112.76666999999999,"(-7.750000, 112.766670)"
974,Tamdakht,48691,Valid,H5,100000.0,Fell,2008.0,31.16333,-7.015,"(31.163330, -7.015000)"
975,Tané,23801,Valid,L5,905.0,Fell,1918.0,35.43333,136.23333,"(35.433330, 136.233330)"
976,Taonan,23873,Valid,L5,3850.0,Fell,1965.0,45.4,122.9,"(45.400000, 122.900000)"
977,Tatahouine,23884,Valid,Diogenite,12000.0,Fell,1931.0,32.95,10.41667,"(32.950000, 10.416670)"
978,Tathlith,23885,Valid,L6,2500.0,Fell,1967.0,19.383329999999997,43.73333,"(19.383330, 43.733330)"
979,Tauk,23887,Valid,L6,6000.0,Fell,1929.0,35.13333,44.45,"(35.133330, 44.450000)"
980,Tauti,23888,Valid,L6,21000.0,Fell,1937.0,46.71667,23.5,"(46.716670, 23.500000)"
981,Tenham,23897,Valid,L6,160000.0,Fell,1879.0,-25.73333,142.95,"(-25.733330, 142.950000)"
982,Tennasilm,23898,Valid,L4,28500.0,Fell,1872.0,58.03333000000001,26.95,"(58.033330, 26.950000)"
983,Thal,23908,Valid,H6,342.0,Fell,1950.0,33.4,70.6,"(33.400000, 70.600000)"
984,Thika,54493,Valid,L6,14200.0,Fell,2011.0,-1.00278,37.15028,"(-1.002780, 37.150280)"
985,Thuathe,23976,Valid,H4/5,45300.0,Fell,2002.0,-29.33333,27.58333,"(-29.333330, 27.583330)"
986,Tianzhang,23984,Valid,H5,2232.0,Fell,1986.0,32.946670000000005,118.99,"(32.946670, 118.990000)"
987,Tieschitz,23989,Valid,H/L3.6,28000.0,Fell,1878.0,49.6,17.116670000000003,"(49.600000, 17.116670)"
988,Tilden,23998,Valid,L6,74800.0,Fell,1927.0,38.2,-89.68333,"(38.200000, -89.683330)"
989,Tillaberi,23999,Valid,L6,3000.0,Fell,1970.0,14.25,1.5333299999999999,"(14.250000, 1.533330)"
990,Timochin,24004,Valid,H5,65500.0,Fell,1807.0,54.5,35.2,"(54.500000, 35.200000)"
991,Tirupati,24009,Valid,H6,230.0,Fell,1934.0,13.633329999999999,79.41667,"(13.633330, 79.416670)"
992,Tissint,54823,Valid,Martian (shergottite),7000.0,Fell,2011.0,29.48195,-7.61123,"(29.481950, -7.611230)"
993,Tjabe,24011,Valid,H6,20000.0,Fell,1869.0,-7.08333,111.53333,"(-7.083330, 111.533330)"
994,Tjerebon,24012,Valid,L5,16500.0,Fell,1922.0,-6.66667,106.58333,"(-6.666670, 106.583330)"
995,Tomakovka,24019,Valid,LL6,600.0,Fell,1905.0,47.85,34.76667,"(47.850000, 34.766670)"
996,Tomatlan,24020,Valid,H6,900.0,Fell,1879.0,20.16667,-105.21667,"(20.166670, -105.216670)"
997,Tomita,24023,Valid,L,600.0,Fell,1916.0,34.5,133.75,"(34.500000, 133.750000)"
998,Tomiya,24024,Valid,H4/5,27.5,Fell,1984.0,38.36667,140.86556000000002,"(38.366670, 140.865560)"
999,Tonk,24026,Valid,CI1,7.7,Fell,1911.0,24.65,76.86667,"(24.650000, 76.866670)"
1000,Torino,24029,Valid,H6,977.0,Fell,1988.0,45.06667,7.66667,"(45.066670, 7.666670)"
1001,Torrington,24032,Valid,H6,259.1,Fell,1944.0,42.06667,-104.16667,"(42.066670, -104.166670)"
1002,Toulouse,24036,Valid,H6,1030.0,Fell,1812.0,43.6,1.4,"(43.600000, 1.400000)"
1003,Tounkin,24037,Valid,OC,2000.0,Fell,1824.0,51.73333,102.53333,"(51.733330, 102.533330)"
1004,Tourinnes-la-Grosse,24038,Valid,L6,14500.0,Fell,1863.0,50.78333,4.7666699999999995,"(50.783330, 4.766670)"
1005,Trebbin,24042,Valid,LL6,1250.0,Fell,1988.0,52.21667,13.166670000000002,"(52.216670, 13.166670)"
1006,Trenzano,24046,Valid,H3/4,11800.0,Fell,1856.0,45.46667,10.0,"(45.466670, 10.000000)"
1007,Treysa,24050,Valid,"Iron, IIIAB-an",63000.0,Fell,1916.0,50.91667,9.18333,"(50.916670, 9.183330)"
1008,Tromøy,24053,Valid,H,357.4,Fell,1950.0,58.473330000000004,8.86667,"(58.473330, 8.866670)"
1009,Troup,24054,Valid,L6,1020.0,Fell,1917.0,32.16667,-95.1,"(32.166670, -95.100000)"
1010,Trysil,24057,Valid,L/LL6,640.0,Fell,1927.0,61.3,12.3,"(61.300000, 12.300000)"
1011,Tsukuba,24059,Valid,H5-6,800.0,Fell,1996.0,36.06333,140.145,"(36.063330, 140.145000)"
1012,Tuan Tuc,24060,Valid,L6,13100.0,Fell,1921.0,9.66667,105.66667,"(9.666670, 105.666670)"
1013,Tugalin-Bulen,24062,Valid,H6,10000.0,Fell,1967.0,45.46667,105.38333,"(45.466670, 105.383330)"
1014,Tulung Dzong,24071,Valid,Stone-uncl,,Fell,1944.0,30.0,90.75,"(30.000000, 90.750000)"
1015,Turtle Lake,47343,Valid,L5,89.3,Fell,1996.0,45.34583,-92.05167,"(45.345830, -92.051670)"
1016,Tuxtuac,24086,Valid,LL5,30000.0,Fell,1975.0,21.66667,-103.36667,"(21.666670, -103.366670)"
1017,Tysnes Island,24094,Valid,H4,19860.0,Fell,1884.0,60.0,5.61667,"(60.000000, 5.616670)"
1018,Tyumen,24095,Valid,Iron,750.0,Fell,1903.0,57.166669999999996,65.53333,"(57.166670, 65.533330)"
1019,Uberaba,24096,Valid,H5,40000.0,Fell,1903.0,-19.816670000000002,-48.78333,"(-19.816670, -48.783330)"
1020,Ucera,24097,Valid,H5,4590.0,Fell,1970.0,11.05,-69.85,"(11.050000, -69.850000)"
1021,Uchkuduk,24098,Valid,L6,1000.0,Fell,1989.0,41.76667,62.51667,"(41.766670, 62.516670)"
1022,Udaipur,24099,Valid,H3,2000.0,Fell,1976.0,,,
1023,Udei Station,24101,Valid,"Iron, IAB-ung",103000.0,Fell,1927.0,7.95,8.08333,"(7.950000, 8.083330)"
1024,Uden,24103,Valid,LL7,710.0,Fell,1840.0,51.65,5.61667,"(51.650000, 5.616670)"
1025,Udipi,24104,Valid,H5,3600.0,Fell,1866.0,13.483329999999999,74.78333,"(13.483330, 74.783330)"
1026,Ufana,24106,Valid,EL6,189.2,Fell,1957.0,-4.2666699999999995,35.35,"(-4.266670, 35.350000)"
1027,Ulmiz,24108,Valid,L,76.5,Fell,1926.0,46.93333,7.21667,"(46.933330, 7.216670)"
1028,Umbala,24112,Valid,LL5,100.0,Fell,1822.0,30.33333,76.33333,"(30.333330, 76.333330)"
1029,Umm Ruaba,24118,Valid,L5,1700.0,Fell,1966.0,13.46667,31.21667,"(13.466670, 31.216670)"
1030,Undulung,24121,Valid,L4,113.4,Fell,1986.0,66.13889,124.76666999999999,"(66.138890, 124.766670)"
1031,Unkoku,24123,Valid,OC,1000.0,Fell,1924.0,34.8,127.0,"(34.800000, 127.000000)"
1032,Urasaki,24129,Valid,Stone-uncl,1500.0,Fell,1926.0,34.48333,133.28333,"(34.483330, 133.283330)"
1033,Usti Nad Orlici,24132,Valid,L6,1269.0,Fell,1963.0,49.975,16.375,"(49.975000, 16.375000)"
1034,Utrecht,24135,Valid,L6,9700.0,Fell,1843.0,52.11667,5.183330000000001,"(52.116670, 5.183330)"
1035,Utzenstorf,24136,Valid,H5,3422.0,Fell,1928.0,47.11667,7.55,"(47.116670, 7.550000)"
1036,Uzcudun,24140,Valid,L,20000.0,Fell,1948.0,-44.11667,-66.15,"(-44.116670, -66.150000)"
